signatureID	PROBE	ID_geneid	Name_GeneSymbol	Value_LogDiffExp	Significance_pvalue
GDS_5917	NA	2	A2M	0.195131	0.17706762412495
GDS_5917	NA	9	NAT1	0.248491	0.0190625286294095
GDS_5917	NA	10	NAT2	-0.121728	0.122851469685831
GDS_5917	NA	12	SERPINA3	0.0910957	0.595219146863225
GDS_5917	NA	13	AADAC	-0.114063	0.0143879467256378
GDS_5917	NA	14	AAMP	0.110662	0.0794526105602448
GDS_5917	NA	15	AANAT	-0.122977	0.0494222266625085
GDS_5917	NA	16	AARS	0.0965542	0.218661111088976
GDS_5917	NA	18	ABAT	0.429748	0.14956492594354
GDS_5917	NA	19	ABCA1	0.188132	0.00312121075926603
GDS_5917	NA	20	ABCA2	-0.192951	0.0196727650299823
GDS_5917	NA	21	ABCA3	-0.150439	0.0346342590761823
GDS_5917	NA	23	ABCF1	0.153815	0.0226327069396537
GDS_5917	NA	24	ABCA4	-0.0904429	0.373270766367475
GDS_5917	NA	25	ABL1	0.223814	0.0610444235986677
GDS_5917	NA	26	AOC1	-0.0827892	0.810662296828011
GDS_5917	NA	27	ABL2	-0.226957	0.00596491135185524
GDS_5917	NA	28	ABO	-0.0960966	0.33466636144032
GDS_5917	NA	29	ABR	-0.0587264	0.521593273477084
GDS_5917	NA	30	ACAA1	0.10472	0.531298999592253
GDS_5917	NA	31	ACACA	-0.0878868	0.312144695691837
GDS_5917	NA	32	ACACB	-0.160554	0.0797381134511423
GDS_5917	NA	33	ACADL	0.30429	0.0263771817000702
GDS_5917	NA	34	ACADM	0.271887	0.12798826822803
GDS_5917	NA	35	ACADS	-0.188315	0.0250583754590839
GDS_5917	NA	36	ACADSB	0.0532962	0.546630457925221
GDS_5917	NA	37	ACADVL	0.135944	0.13119298705724
GDS_5917	NA	38	ACAT1	0.266109	0.103934357845762
GDS_5917	NA	39	ACAT2	0.0248178	0.538056409991978
GDS_5917	NA	40	ASIC2	-0.114469	0.0451421368416651
GDS_5917	NA	41	ASIC1	-0.172268	0.0121082959995205
GDS_5917	NA	43	ACHE	-0.271033	0.0121357590729659
GDS_5917	NA	47	ACLY	0.368056	0.114898741860713
GDS_5917	NA	48	ACO1	0.487541	0.00257769101412014
GDS_5917	NA	49	ACR	-0.209979	0.0085861065699654
GDS_5917	NA	50	ACO2	0.165584	0.211223912696582
GDS_5917	NA	51	ACOX1	0.166738	0.00492461504722163
GDS_5917	NA	52	ACP1	0.394924	0.0230428843331238
GDS_5917	NA	53	ACP2	0.214582	0.025985317176045
GDS_5917	NA	54	ACP5	0.21171	0.136780065484091
GDS_5917	NA	55	ACPP	0.167562	0.147445889788859
GDS_5917	NA	56	ACRV1	-0.175637	0.0496769212325113
GDS_5917	NA	58	ACTA1	-0.902947	0.227574349004292
GDS_5917	NA	59	ACTA2	0.173762	0.0171327533535925
GDS_5917	NA	60	ACTB	-0.123822	0.243138725426796
GDS_5917	NA	69	ACTBP9	0.0292802	0.614567254385729
GDS_5917	NA	70	ACTC1	-0.488482	0.0890091557451058
GDS_5917	NA	71	ACTG1	0.184409	0.154647776111021
GDS_5917	NA	72	ACTG2	-0.152742	0.0656766220898788
